,budget,genres,original_language,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,release_year
15,52000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,10.137389,1995-11-22,116112375.0,178.0,Released,Casino,7.8,1343.0,1995
16,16500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,10.673167,1995-12-13,135000000.0,136.0,Released,Sense and Sensibility,7.2,364.0,1995
17,4000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",en,9.026586,1995-12-09,4300000.0,98.0,Released,Four Rooms,6.5,539.0,1995
18,30000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",en,8.205448,1995-11-10,212385533.0,90.0,Released,Ace Ventura: When Nature Calls,6.1,1128.0,1995
19,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",en,7.337906,1995-11-21,35431113.0,103.0,Released,Money Train,5.4,224.0,1995
20,30250000,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,12.669608,1995-10-20,115101622.0,105.0,Released,Get Shorty,6.4,305.0,1995
22,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,11.065939,1995-10-06,30303072.0,132.0,Released,Assassins,6.0,394.0,1995
24,3600000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,10.332025,1995-10-27,49800000.0,112.0,Released,Leaving Las Vegas,7.1,365.0,1995
26,12000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,8.681325,1995-10-20,27400000.0,100.0,Released,Now and Then,6.6,91.0,1995
28,18000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",fr,9.822423,1995-05-16,1738611.0,108.0,Released,The City of Lost Children,7.6,308.0,1995
31,29500000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",en,12.297305,1995-12-29,168840000.0,129.0,Released,Twelve Monkeys,7.4,2470.0,1995
33,30000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,14.404764,1995-07-18,254134910.0,89.0,Released,Babe,6.0,756.0,1995
35,11000000,"[{'id': 18, 'name': 'Drama'}]",en,6.891317,1995-12-29,39363635.0,122.0,Released,Dead Man Walking,7.3,350.0,1995
38,12000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,9.882383,1995-07-19,0.0,97.0,Released,Clueless,6.9,828.0,1995
41,10000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",en,9.87957,1995-10-06,0.0,119.0,Released,Dead Presidents,6.6,80.0,1995
42,19000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,10.979269,1995-12-29,0.0,117.0,Released,Restoration,6.3,30.0,1995
43,18000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",en,10.870138,1995-08-18,122195920.0,101.0,Released,Mortal Kombat,5.4,452.0,1995
44,20000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",en,10.448481,1995-05-20,21284514.0,106.0,Released,To Die For,6.7,177.0,1995
45,10000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,4.485958,1995-10-06,23574130.0,116.0,Released,How To Make An American Quilt,6.5,38.0,1995
46,33000000,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,18.45743,1995-09-22,327311859.0,127.0,Released,Se7en,8.1,5915.0,1995
47,55000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,13.280069,1995-06-14,346079773.0,81.0,Released,Pocahontas,6.7,1509.0,1995
49,6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,16.302466,1995-07-19,23341568.0,106.0,Released,The Usual Suspects,8.1,3334.0,1995
51,15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,15.899134,1995-09-13,6700000.0,95.0,Released,Mighty Aphrodite,6.7,145.0,1995
59,45000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",en,10.673296,1995-07-14,0.0,96.0,Released,The Indian in the Cupboard,5.9,136.0,1995
60,20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,4.733526,1996-01-12,0.0,101.0,Released,Eye for an Eye,5.8,65.0,1996
64,15000000,"[{'id': 35, 'name': 'Comedy'}]",en,6.387469,1996-01-12,0.0,88.0,Released,Bio-Dome,4.4,110.0,1996
68,3500000,"[{'id': 35, 'name': 'Comedy'}]",en,14.56965,1995-04-26,28215918.0,91.0,Released,Friday,7.0,513.0,1995
69,19000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,15.339153,1996-01-19,25836616.0,108.0,Released,From Dusk Till Dawn,6.9,1644.0,1996
70,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",en,5.912223,1995-11-03,11534477.0,91.0,Released,Fair Game,4.1,54.0,1995
74,15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,2.936443,1996-01-26,2042530.0,90.0,Released,Big Bully,3.9,16.0,1996
75,20000000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",en,12.758848,1995-09-08,5781885.0,108.0,Released,Screamers,6.1,154.0,1995
78,44000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,6.010579,1996-02-02,0.0,118.0,Released,The Juror,5.5,91.0,1996
80,8000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,4.486179,1995-12-01,529766.0,116.0,Released,Things to Do in Denver When You're Dead,6.7,87.0,1995
81,900000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",nl,2.030174,1995-09-12,0.0,102.0,Released,Antonia's Line,7.2,26.0,1995
85,38000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",en,9.568604,1996-02-02,10300000.0,129.0,Released,White Squall,6.3,86.0,1996
86,16000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,4.814825,1996-01-12,0.0,88.0,Released,Dunston Checks In,5.1,59.0,1996
88,8169363,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,6.848591,1995-11-22,8175346.0,90.0,Released,Nick of Time,6.1,190.0,1995
90,47000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",en,12.866139,1996-02-23,12379402.0,104.0,Released,Mary Reilly,5.7,77.0,1996
91,14000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",en,9.071127,1995-10-26,19800000.0,100.0,Released,Vampire in Brooklyn,4.5,113.0,1995
93,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,14.957626,1996-02-09,150270147.0,108.0,Released,Broken Arrow,5.7,459.0,1996
95,3000000,"[{'id': 18, 'name': 'Drama'}]",fr,12.108196,1995-05-31,0.0,98.0,Released,La Haine,7.9,695.0,1995
99,7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,6.904831,1996-02-21,560069.0,91.0,Released,Bottle Rocket,6.8,285.0,1996
101,18000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,2.464425,1996-02-23,0.0,106.0,Released,Unforgettable,5.3,22.0,1996
102,12000000,"[{'id': 35, 'name': 'Comedy'}]",en,9.592265,1996-02-16,41205099.0,92.0,Released,Happy Gilmore,6.5,767.0,1996
103,24000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,5.951077,1995-05-28,182016617.0,135.0,Released,The Bridges of Madison County,7.3,397.0,1995
108,72000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",en,20.755149,1995-05-24,210000000.0,177.0,Released,Braveheart,7.7,3404.0,1995
109,1300000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,14.092713,1976-02-07,28262574.0,114.0,Released,Taxi Driver,8.1,2632.0,1976
110,7500000,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",cn,12.314278,1995-01-30,32392047.0,91.0,Released,Rumble in the Bronx,6.5,245.0,1995
111,35000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,2.938293,1996-02-23,0.0,108.0,Released,Before and After,5.8,37.0,1996
113,13365000,"[{'id': 35, 'name': 'Comedy'}]",en,1.254885,1995-01-31,0.0,106.0,Released,Happiness Is in the Field,7.0,23.0,1995
117,25000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",en,1.522412,1995-09-29,6278139.0,113.0,Released,Steal Big Steal Little,5.1,7.0,1995
120,40000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,6.506983,1992-06-30,70100000.0,117.0,Released,Boomerang,5.4,139.0,1992
123,7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,5.579088,1996-03-22,14702438.0,92.0,Released,Flirting with Disaster,6.3,66.0,1996
124,17000000,"[{'id': 14, 'name': 'Fantasy'}]",en,6.252377,1994-10-26,0.0,95.0,Released,The Neverending Story III: Escape from Fantasia,4.4,105.0,1994
130,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",en,11.418917,1995-10-13,9851610.0,95.0,Released,Jade,5.1,45.0,1995
138,60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,3.402749,1996-03-01,0.0,119.0,Released,Up Close & Personal,5.9,51.0,1996
139,31000000,"[{'id': 35, 'name': 'Comedy'}]",en,6.49968,1996-03-08,185260553.0,117.0,Released,The Birdcage,6.7,303.0,1996
142,19000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,9.262184,1995-04-07,141407024.0,118.0,Released,Bad Boys,6.5,1729.0,1995
145,4000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",en,0.922958,1995-07-21,851545.0,113.0,Released,An Awfully Big Adventure,6.0,11.0,1995
147,52000000,"[{'id': 18, 'name': 'Drama'}]",en,18.761467,1995-06-30,355237933.0,140.0,Released,Apollo 13,7.3,1637.0,1995
148,28000000,"[{'id': 12, 'name': 'Adventure'}]",en,10.193549,1995-04-13,31596911.0,139.0,Released,Rob Roy,6.5,151.0,1995
150,100000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",en,13.321354,1995-06-16,336529144.0,121.0,Released,Batman Forever,5.2,1529.0,1995
153,2000000,"[{'id': 35, 'name': 'Comedy'}]",en,11.528147,1995-09-15,1275000.0,83.0,Released,Blue in the Face,6.8,28.0,1995
154,11000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",en,5.391556,1995-06-08,178104.0,91.0,Released,Canadian Bacon,5.9,57.0,1995
155,50000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,12.812539,1995-05-26,287928194.0,100.0,Released,Casper,6.0,1045.0,1995
156,25000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,4.558992,1995-09-15,13071518.0,128.0,Released,Clockers,6.8,69.0,1995
157,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,7.260574,1995-06-09,152022101.0,109.0,Released,Congo,5.0,214.0,1995
158,53000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",en,8.657365,1995-05-12,157387195.0,116.0,Released,Crimson Tide,7.0,508.0,1995
160,7000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",en,6.950458,1995-08-25,25405445.0,104.0,Released,Desperado,6.8,898.0,1995
161,27000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,4.646132,1995-09-15,16140822.0,102.0,Released,Devil in a Blue Dress,6.3,88.0,1995
162,90000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,15.138855,1995-05-19,366101666.0,128.0,Released,Die Hard: With a Vengeance,6.9,2094.0,1995
165,55000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,15.178338,1995-07-07,127600435.0,134.0,Released,First Knight,5.9,319.0,1995
167,20000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",en,14.810519,1995-09-14,7563728.0,107.0,Released,Hackers,6.2,406.0,1995
169,25000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,11.715868,1995-05-26,19075720.0,97.0,Released,Johnny Mnemonic,5.5,380.0,1995
170,90000000,"[{'id': 878, 'name': 'Science Fiction'}]",en,8.184815,1995-06-30,113493481.0,96.0,Released,Judge Dredd,5.4,643.0,1995
172,1500000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,4.877872,1995-07-28,7412216.0,91.0,Released,Kids,6.8,280.0,1995
173,500000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",en,10.058329,1995-01-20,1148752.0,89.0,Released,Living in Oblivion,7.2,64.0,1995
177,6000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",en,8.25547,1995-10-20,2122561.0,94.0,Released,Mallrats,6.8,400.0,1995
178,15000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",en,7.024227,1995-06-30,66000000.0,92.0,Released,Mighty Morphin Power Rangers: The Movie,5.2,153.0,1995
180,2,"[{'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]",en,2.466066,1995-09-28,1.0,95.0,Released,Mute Witness,6.4,36.0,1995
182,22000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",en,13.304342,1995-07-28,110627965.0,114.0,Released,The Net,5.6,359.0,1995
184,150000,"[{'id': 35, 'name': 'Comedy'}]",en,1.165039,1995-06-09,472370.0,94.0,Released,Party Girl,5.8,14.0,1995
185,8,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,10.187623,1995-09-01,16.0,98.0,Released,The Prophecy,6.4,139.0,1995
188,50000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",en,6.752119,1995-10-13,10382407.0,135.0,Released,The Scarlet Letter,5.5,111.0,1995
190,45000000,"[{'id': 18, 'name': 'Drama'}]",en,17.502375,1995-09-22,20350754.0,128.0,Released,Showgirls,4.9,261.0,1995
191,7000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",en,5.552946,1995-06-09,8349430.0,112.0,Released,Smoke,7.2,115.0,1995
193,35000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",en,13.492845,1995-07-07,113374103.0,108.0,Released,Species,5.5,457.0,1995
195,42000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,11.223055,1995-10-13,7959291.0,145.0,Released,Strange Days,6.8,334.0,1995
197,14000000,"[{'id': 53, 'name': 'Thriller'}]",en,1.820419,1995-09-08,5780000.0,99.0,Released,The Tie That Binds,4.6,9.0,1995
201,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,7.490247,1995-07-13,104324083.0,100.0,Released,Under Siege 2: Dark Territory,5.6,217.0,1995
204,20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,9.715639,1995-08-11,50012507.0,103.0,Released,A Walk in the Clouds,6.5,168.0,1995
205,175000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",en,16.885184,1995-07-28,264218220.0,135.0,Released,Waterworld,5.9,1017.0,1995
206,8000000,"[{'id': 18, 'name': 'Drama'}]",en,1.834099,1995-12-01,0.0,89.0,Released,White Man's Burden,5.1,25.0,1995
207,30000000,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",en,8.922139,1995-12-01,0.0,98.0,Released,Wild Bill,5.9,27.0,1995
210,2800000,"[{'id': 18, 'name': 'Drama'}]",ru,2.486073,1994-05-01,2616503.0,135.0,Released,Burnt by the Sun,6.7,35.0,1994
212,2500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,11.304979,1995-01-27,5535405.0,105.0,Released,Before Sunrise,7.7,984.0,1995
213,10000000,"[{'id': 35, 'name': 'Comedy'}]",en,6.638116,1995-02-10,26488734.0,89.0,Released,Billy Madison,6.2,464.0,1995
215,21000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",en,3.030309,1995-02-03,23450000.0,115.0,Released,Boys on the Side,6.3,48.0,1995
219,27000,"[{'id': 35, 'name': 'Comedy'}]",en,10.513367,1994-09-13,3151130.0,92.0,Released,Clerks,7.4,769.0,1994
220,25000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",en,7.438934,1994-10-01,22200000.0,97.0,Released,Don Juan DeMarco,6.3,184.0,1994
221,55000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",en,11.812244,1994-12-09,214015089.0,123.0,Released,Disclosure,5.9,217.0,1994
223,45000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",en,9.579155,1994-12-08,0.0,101.0,Released,Drop Zone,5.1,91.0,1994
227,16000000,"[{'id': 35, 'name': 'Comedy'}]",en,9.844558,1994-12-16,247275374.0,107.0,Released,Dumb and Dumber,6.5,1894.0,1994
231,18000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",en,11.720358,1994-09-27,5887457.0,127.0,Released,Ed Wood,7.3,639.0,1994
236,15000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,8.182165,1995-03-03,12201255.0,103.0,Released,Hideaway,5.0,24.0,1995
242,700000,"[{'id': 99, 'name': 'Documentary'}]",en,9.47666,1994-09-12,7830611.0,171.0,Released,Hoop Dreams,7.7,91.0,1994
243,5000000,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",en,9.438042,1994-09-02,3049135.0,99.0,Released,Heavenly Creatures,6.9,299.0,1994
244,10500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,2.688562,1995-01-06,26325256.0,113.0,Released,Houseguest,6.0,17.0,1995
245,120,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",en,7.983666,1994-12-16,0.0,121.0,Released,Immortal Beloved,6.9,90.0,1994
248,25000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,5.146352,1994-12-24,0.0,100.0,Released,I.Q.,5.9,112.0,1994
249,60000000,"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",en,11.970205,1994-11-11,223664608.0,123.0,Released,Interview with the Vampire,7.2,1558.0,1994
250,14000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,1.596058,1995-03-31,2474000.0,139.0,Released,Jefferson in Paris,5.2,10.0,1995
252,60000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",en,6.710215,1994-11-22,37000000.0,109.0,Released,Junior,4.7,381.0,1994
255,40000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,7.797512,1995-04-21,0.0,101.0,Released,Kiss of Death,5.7,83.0,1995
256,11000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",en,42.149697,1977-05-25,775398007.0,121.0,Released,Star Wars,8.1,6778.0,1977
257,18000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,9.774994,1994-12-21,0.0,115.0,Released,Little Women,7.0,222.0,1994
258,17000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",en,7.731725,1995-05-10,0.0,97.0,Released,A Little Princess,7.4,207.0,1995
260,10000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",fr,1.948315,1994-02-16,0.0,100.0,Released,L'Enfer,6.6,22.0,1994
261,2000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",es,4.126083,1992-04-16,21665468.0,105.0,Released,Like Water for Chocolate,6.6,70.0,1992
262,30000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",en,12.199047,1994-12-16,160638883.0,133.0,Released,Legends of the Fall,7.2,636.0,1994
266,60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,3.290192,1994-10-21,0.0,108.0,Released,Love Affair,4.3,11.0,1994
267,17000000,"[{'id': 18, 'name': 'Drama'}]",en,7.698526,1995-03-17,7603766.0,106.0,Released,Losing Isaiah,6.4,28.0,1995
269,45000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",en,14.287753,1994-11-04,112006296.0,123.0,Released,Mary Shelley's Frankenstein,6.1,272.0,1994
