,year,filiere,banque,ecole,inscrits_nb,inscrits_filles,inscrits_cinq_demi,admissibles_nb,admissibles_filles,admissibles_cinq_demi,classes_nb,classes_filles,classes_cinq_demi,rg_dernier_appele,integres_nb,integres_filles,integres_cinq_demi,places,appeles,integres_rg_median,integres_rg_moyen,longitude,latitude,postalcode
30,2011,bcpst,A BIO,Montpellier Sup Agro (cursus SAADS),,,,,,,,,,805.0,6.0,83.0,34.0,5.0,,,,3.854877,43.61728160000001,34
31,2012,bcpst,A BIO,Montpellier Sup Agro (cursus SAADS),,,,,,,,,,730.0,5.0,100.0,40.0,5.0,,,,3.854877,43.61728160000001,34
32,2013,bcpst,A BIO,Montpellier Sup Agro (cursus SAADS),,,,,,,,,,872.0,6.0,66.0,34.0,5.0,,,,3.854877,43.61728160000001,34
33,2014,bcpst,A BIO,Montpellier Sup Agro (cursus SAADS),,,,,,,,,,765.0,7.0,85.0,29.0,7.0,,,,3.854877,43.61728160000001,34
34,2015,bcpst,A BIO,Montpellier Sup Agro (cursus SAADS),,,,,,,,,,830.0,5.0,20.0,0.0,5.0,,,,3.854877,43.61728160000001,34
35,2016,bcpst,A BIO,Montpellier Sup Agro (cursus SAADS),,,,,,,,,,826.0,6.0,66.7,33.3,6.0,,,,3.854877,43.61728160000001,34
36,2020,bcpst,A BIO,Montpellier Sup Agro (cursus SAADS),,,,,,,,,,,4.0,50.0,0.0,7.0,,528.0,643.0,3.854877,43.61728160000001,34
37,2019,bcpst,A BIO,Montpellier Sup Agro (cursus SAADS),,,,,,,,,,,6.0,100.0,16.7,6.0,,907.0,810.0,3.854877,43.61728160000001,34
38,2010,bcpst,A BIO,Montpellier Sup Agro (cursus SAADS),,,,,,,,,,972.0,5.0,60.0,40.0,5,,,,3.854877,43.61728160000001,34
39,2017,bcpst,A BIO,Montpellier Sup Agro (cursus SAADS),,,,,,,,,,1074.0,5.0,60.0,20.0,5,,,,3.854877,43.61728160000001,34
40,2018,bcpst,A BIO,Montpellier Sup Agro (cursus SAADS),,,,,,,,,,,6.0,50.0,16.7,6,,791.0,747.0,3.854877,43.61728160000001,34
41,2021,bcpst,A BIO,Montpellier Sup Agro (cursus SAADS),,,,,,,,,,,7.0,100.0,0.0,7,,885.0,721.0,3.854877,43.61728160000001,34
42,2011,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur agronome),,,,,,,,,,1139.0,100.0,74.0,42.0,100.0,,,,-1.7102321,48.1264244,35
43,2012,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur agronome),,,,,,,,,,1221.0,99.0,71.0,45.0,100.0,,,,-1.7102321,48.1264244,35
44,2013,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur agronome),,,,,,,,,,1248.0,101.0,62.0,40.0,101.0,,,,-1.7102321,48.1264244,35
45,2014,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur agronome),,,,,,,,,,1197.0,103.0,64.0,27.0,100.0,,,,-1.7102321,48.1264244,35
46,2015,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur agronome),,,,,,,,,,1243.0,100.0,66.0,24.0,100.0,,,,-1.7102321,48.1264244,35
47,2016,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur agronome),,,,,,,,,,1211.0,104.0,69.2,45.2,104.0,,,,-1.7102321,48.1264244,35
48,2020,tb,Concours  A TB BIO,Agrocampus Ouest (cursus ingénieur agronome),,,,,,,,,,,4.0,100.0,0.0,4.0,,31.0,37.0,-1.7102321,48.1264244,35
49,2020,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur agronome),,,,,,,,,,,102.0,74.5,34.3,104.0,,1122.0,1065.0,-1.7102321,48.1264244,35
50,2019,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur agronome),,,,,,,,,,,102.0,74.5,37.3,103.0,,1076.0,1035.0,-1.7102321,48.1264244,35
51,2019,tb,Concours A TB BIO,Agrocampus Ouest (cursus ingénieur agronome),,,,,,,,,,,4.0,25.0,25.0,4.0,,37.0,32.0,-1.7102321,48.1264244,35
52,2010,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur agronome),,,,,,,,,,1166.0,100.0,76.0,43.0,100,,,,-1.7102321,48.1264244,35
53,2017,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur agronome),,,,,,,,,,1219.0,99.0,66.7,40.4,100,,,,-1.7102321,48.1264244,35
54,2018,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur agronome),,,,,,,,,,,97.0,67.0,35.1,101,,1080.0,979.0,-1.7102321,48.1264244,35
55,2021,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur agronome),,,,,,,,,,,105.0,68.6,42.9,105,,1087.0,1061.0,-1.7102321,48.1264244,35
56,2021,tb,Concours  A TB BIO,Agrocampus Ouest (cursus ingénieur agronome),,,,,,,,,,,4.0,75.0,25.0,4,,35.0,31.0,-1.7102321,48.1264244,35
57,2011,bcpst,A BIO,ENSAT Toulouse,,,,,,,,,,1270.0,96.0,69.0,50.0,96.0,,,,1.493193,43.53505699999999,31
58,2012,bcpst,A BIO,ENSAT Toulouse,,,,,,,,,,1213.0,95.0,57.0,33.0,96.0,,,,1.493193,43.53505699999999,31
59,2013,bcpst,A BIO,ENSAT Toulouse,,,,,,,,,,1216.0,90.0,68.0,43.0,90.0,,,,1.493193,43.53505699999999,31
60,2014,bcpst,A BIO,ENSAT Toulouse,,,,,,,,,,1221.0,91.0,75.0,53.0,91.0,,,,1.493193,43.53505699999999,31
61,2015,bcpst,A BIO,ENSAT Toulouse,,,,,,,,,,1358.0,86.0,62.0,37.0,91.0,,,,1.493193,43.53505699999999,31
62,2006,bcpst,BIO A,ENSAT Toulouse,,,,,,,,,,1164.0,86.0,62.0,35.0,90.0,,,,1.493193,43.53505699999999,31
63,2016,bcpst,A BIO,ENSAT Toulouse,,,,,,,,,,1296.0,88.0,69.3,43.2,91.0,,,,1.493193,43.53505699999999,31
64,2009,bcpst,A BIO,ENSAT Toulouse,,,,,,,,,,1202.0,96.0,67.0,41.0,96.0,,,,1.493193,43.53505699999999,31
65,2003,BCPST,BIO A,ENSAT Toulouse,,,,,,,,,,,85.0,67.0,28.0,85.0,665.0,,,1.493193,43.53505699999999,31
66,2020,tb,Concours  A TB BIO,ENSAT Toulouse,,,,,,,,,,,5.0,80.0,20.0,5.0,,49.0,48.0,1.493193,43.53505699999999,31
67,2020,bcpst,A BIO,ENSAT Toulouse,,,,,,,,,,,93.0,61.3,36.6,93.0,,1325.0,1264.0,1.493193,43.53505699999999,31
68,2008,bcpst,A BIO,ENSAT Toulouse,,,,,,,,,,1226.0,95.0,69.0,47.0,96.0,,,,1.493193,43.53505699999999,31
69,2007,BCPST,A BIO,ENSAT Toulouse,,,,,,,,,,1213.0,100.0,65.0,41.0,93.0,,,,1.493193,43.53505699999999,31
70,2019,bcpst,A BIO,ENSAT Toulouse,,,,,,,,,,,86.0,76.7,36.0,92.0,,1326.0,1281.0,1.493193,43.53505699999999,31
71,2019,tb,Concours A TB BIO,ENSAT Toulouse,,,,,,,,,,,3.0,66.7,0.0,3.0,,64.0,64.0,1.493193,43.53505699999999,31
72,2004,BCPST,BIO A,ENSAT Toulouse,,,,,,,,,,682,85.0,65.0,22.0,85,,,,1.493193,43.53505699999999,31
73,2010,bcpst,A BIO,ENSAT Toulouse,,,,,,,,,,1280.0,96.0,67.0,40.0,96,,,,1.493193,43.53505699999999,31
74,2005,bcpst,BIO A,ENSAT Toulouse,,,,,,,,,,933.0,83.0,67.0,19.0,90.0,,,,1.493193,43.53505699999999,31
75,2017,bcpst,A BIO,ENSAT Toulouse,,,,,,,,,,1468.0,83.0,65.1,41.0,91,,,,1.493193,43.53505699999999,31
76,2018,bcpst,A BIO,ENSAT Toulouse,,,,,,,,,,,91.0,70.3,38.5,92,,1238.0,1190.0,1.493193,43.53505699999999,31
77,2002,BCPST,BIO A,ENSAT Toulouse,,,,,,,,,,,80.0,54.0,21.0,80,687.0,,,1.493193,43.53505699999999,31
78,2021,bcpst,A BIO,ENSAT Toulouse,,,,,,,,,,,91.0,75.8,35.2,92,,1344.0,1273.0,1.493193,43.53505699999999,31
79,2021,tb,Concours  A TB BIO,ENSAT Toulouse,,,,,,,,,,,7.0,42.9,57.1,7,,48.0,37.0,1.493193,43.53505699999999,31
80,2011,bcpst,A BIO,ENSAIA Nancy,,,,,,,,,,1537.0,104.0,70.0,37.0,102.0,,,,6.147378,48.651838,54
81,2012,bcpst,A BIO,ENSAIA Nancy,,,,,,,,,,1616.0,100.0,68.0,42.0,102.0,,,,6.147378,48.651838,54
82,2013,bcpst,A BIO,ENSAIA Nancy,,,,,,,,,,1598.0,93.0,73.0,50.0,93.0,,,,6.147378,48.651838,54
83,2014,bcpst,A BIO,ENSAIA Nancy,,,,,,,,,,1492.0,108.0,68.0,37.0,93.0,,,,6.147378,48.651838,54
84,2015,bcpst,A BIO,ENSAIA Nancy,,,,,,,,,,1627.0,88.0,77.0,23.0,93.0,,,,6.147378,48.651838,54
85,2006,bcpst,BIO A,ENSAIA Nancy,,,,,,,,,,1464.0,92.0,66.0,43.0,92.0,,,,6.147378,48.651838,54
86,2016,bcpst,A BIO,ENSAIA Nancy,,,,,,,,,,1590.0,90.0,77.8,32.2,93.0,,,,6.147378,48.651838,54
87,2009,bcpst,A BIO,ENSAIA Nancy,,,,,,,,,,1610.0,97.0,63.0,32.0,102.0,,,,6.147378,48.651838,54
88,2003,BCPST,BIO A,ENSAIA Nancy,,,,,,,,,,,89.0,64.0,20.0,88.0,978.0,,,6.147378,48.651838,54
89,2020,tb,Concours  A TB BIO,ENSAIA Nancy,,,,,,,,,,,5.0,80.0,40.0,5.0,,59.0,60.0,6.147378,48.651838,54
90,2020,bcpst,A BIO,ENSAIA Nancy,,,,,,,,,,,82.0,73.2,36.6,88.0,,1723.0,1653.0,6.147378,48.651838,54
91,2008,bcpst,A BIO,ENSAIA Nancy,,,,,,,,,,1549.0,98.0,69.0,40.0,100.0,,,,6.147378,48.651838,54
92,2007,BCPST,A BIO,ENSAIA Nancy,,,,,,,,,,1493.0,98.0,74.0,43.0,96.0,,,,6.147378,48.651838,54
93,2019,bcpst,A BIO,ENSAIA Nancy,,,,,,,,,,,74.0,67.6,32.4,93.0,,1656.0,1571.0,6.147378,48.651838,54
94,2019,tb,Concours A TB BIO,ENSAIA Nancy,,,,,,,,,,,5.0,60.0,20.0,5.0,,56.0,59.0,6.147378,48.651838,54
95,2004,BCPST,BIO A,ENSAIA Nancy,,,,,,,,,,945,85.0,73.0,28.0,85,,,,6.147378,48.651838,54
96,2010,bcpst,A BIO,ENSAIA Nancy,,,,,,,,,,1591.0,101.0,70.0,33.0,102,,,,6.147378,48.651838,54
97,2005,bcpst,BIO A,ENSAIA Nancy,,,,,,,,,,1235.0,89.0,61.0,30.0,92.0,,,,6.147378,48.651838,54
98,2017,bcpst,A BIO,ENSAIA Nancy,,,,,,,,,,1732.0,89.0,66.3,44.9,93,,,,6.147378,48.651838,54
99,2018,bcpst,A BIO,ENSAIA Nancy,,,,,,,,,,,91.0,73.6,41.8,93,,1559.0,1522.0,6.147378,48.651838,54
100,2002,BCPST,BIO A,ENSAIA Nancy,,,,,,,,,,,87.0,68.0,24.0,85,1020.0,,,6.147378,48.651838,54
101,2021,bcpst,A BIO,ENSAIA Nancy,,,,,,,,,,,84.0,65.5,34.5,90,,1706.0,1674.0,6.147378,48.651838,54
102,2021,tb,Concours  A TB BIO,ENSAIA Nancy,,,,,,,,,,,5.0,100.0,60.0,5,,59.0,55.0,6.147378,48.651838,54
103,2011,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),,,,,,,,,,1653.0,40.0,75.0,28.0,40.0,,,,-1.7102321,48.1264244,35
104,2012,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),,,,,,,,,,1796.0,38.0,84.0,53.0,40.0,,,,-1.7102321,48.1264244,35
105,2013,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),,,,,,,,,,1810.0,35.0,74.0,40.0,41.0,,,,-1.7102321,48.1264244,35
106,2014,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),,,,,,,,,,1739.0,45.0,64.0,29.0,41.0,,,,-1.7102321,48.1264244,35
107,2015,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),,,,,,,,,,1930.0,27.0,85.0,26.0,39.0,,,,-1.7102321,48.1264244,35
108,2016,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),,,,,,,,,,2037.0,30.0,66.7,30.0,39.0,,,,-1.7102321,48.1264244,35
109,2020,tb,Concours  A TB BIO,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),,,,,,,,,,,3.0,66.7,33.3,4.0,,65.0,65.0,-1.7102321,48.1264244,35
110,2020,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),,,,,,,,,,,35.0,85.7,25.7,38.0,,1755.0,1704.0,-1.7102321,48.1264244,35
111,2019,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),,,,,,,,,,,45.0,68.9,33.3,37.0,,1888.0,1783.0,-1.7102321,48.1264244,35
112,2019,tb,Concours A TB BIO,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),,,,,,,,,,,4.0,50.0,0.0,4.0,,54.0,59.0,-1.7102321,48.1264244,35
113,2010,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),,,,,,,,,,1752.0,39.0,79.0,39.0,40,,,,-1.7102321,48.1264244,35
114,2017,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),,,,,,,,,,1995.0,34.0,64.7,50.0,37,,,,-1.7102321,48.1264244,35
115,2018,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),,,,,,,,,,,31.0,58.1,22.6,37,,1642.0,1651.0,-1.7102321,48.1264244,35
116,2021,bcpst,A BIO,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),,,,,,,,,,,37.0,75.7,24.3,38,,1619.0,1590.0,-1.7102321,48.1264244,35
117,2021,tb,Concours  A TB BIO,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),,,,,,,,,,,3.0,0.0,33.3,4,,80.0,75.0,-1.7102321,48.1264244,35
118,2011,bcpst,A BIO,Agrosup Dijon (Cursus Agroalimentaire),,,,,,,,,,2031.0,42.0,76.0,41.0,39.0,,,,5.04148,47.322047,21
119,2012,bcpst,A BIO,Agrosup Dijon (Cursus Agroalimentaire),,,,,,,,,,2016.0,30.0,86.0,27.0,35.0,,,,5.04148,47.322047,21
120,2013,bcpst,A BIO,Agrosup Dijon (Cursus Agroalimentaire),,,,,,,,,,2054.0,32.0,78.0,38.0,37.0,,,,5.04148,47.322047,21
121,2014,bcpst,A BIO,Agrosup Dijon (Cursus Agroalimentaire),,,,,,,,,,1988.0,52.0,69.0,27.0,41.0,,,,5.04148,47.322047,21
122,2015,bcpst,A BIO,Agrosup Dijon (Cursus Agroalimentaire),,,,,,,,,,2011.0,29.0,75.0,32.0,40.0,,,,5.04148,47.322047,21
123,2016,bcpst,A BIO,Agrosup Dijon (Cursus Agroalimentaire),,,,,,,,,,2049.0,35.0,71.4,20.0,40.0,,,,5.04148,47.322047,21
124,2020,tb,Concours  A TB BIO,Agrosup Dijon (Cursus Agroalimentaire),,,,,,,,,,,5.0,80.0,0.0,5.0,,60.0,59.0,5.04148,47.322047,21
125,2020,bcpst,A BIO,Agrosup Dijon (Cursus Agroalimentaire),,,,,,,,,,,32.0,78.1,18.8,35.0,,2009.0,1936.0,5.04148,47.322047,21
126,2019,bcpst,A BIO,Agrosup Dijon (Cursus Agroalimentaire),,,,,,,,,,,33.0,78.8,30.3,35.0,,1860.0,1774.0,5.04148,47.322047,21
127,2019,tb,Concours A TB BIO,Agrosup Dijon (Cursus Agroalimentaire),,,,,,,,,,,5.0,20.0,40.0,5.0,,84.0,71.0,5.04148,47.322047,21
128,2010,bcpst,A BIO,Agrosup Dijon (Cursus Agroalimentaire),,,,,,,,,,2006.0,38.0,81.0,24.0,39,,,,5.04148,47.322047,21
129,2017,bcpst,A BIO,Agrosup Dijon (Cursus Agroalimentaire),,,,,,,,,,2084.0,43.0,65.1,34.9,40,,,,5.04148,47.322047,21
130,2018,bcpst,A BIO,Agrosup Dijon (Cursus Agroalimentaire),,,,,,,,,,,29.0,72.4,27.6,36,,1910.0,1832.0,5.04148,47.322047,21
131,2021,bcpst,A BIO,Agrosup Dijon (Cursus Agroalimentaire),,,,,,,,,,,33.0,78.8,12.1,35,,1965.0,1837.0,5.04148,47.322047,21
132,2021,tb,Concours  A TB BIO,Agrosup Dijon (Cursus Agroalimentaire),,,,,,,,,,,2.0,100.0,0.0,5,,79.0,79.0,5.04148,47.322047,21
133,2011,bcpst,A BIO,ENITAB Bordeaux (Fonctionnaire),,,,,,,,,,1355.0,8.0,25.0,88.0,8.0,,,,-0.6063803,44.7931179,33
134,2009,bcpst,A BIO,ENITAB Bordeaux (Fonctionnaire),,,,,,,,,,1588.0,13.0,46.0,31.0,13.0,,,,-0.6063803,44.7931179,33
135,2008,bcpst,A BIO,ENITAB Bordeaux (Fonctionnaire),,,,,,,,,,1387.0,10.0,60.0,60.0,10.0,,,,-0.6063803,44.7931179,33
136,2007,BCPST,A BIO,ENITAB Bordeaux (Fonctionnaire),,,,,,,,,,1343.0,9.0,44.0,67.0,9.0,,,,-0.6063803,44.7931179,33
137,2010,bcpst,A BIO,ENITAB Bordeaux (Fonctionnaire),,,,,,,,,,1339.0,10.0,60.0,50.0,10,,,,-0.6063803,44.7931179,33
138,2011,bcpst,A BIO,ENITAB Bordeaux (Civil),,,,,,,,,,1682.0,72.0,83.0,45.0,72.0,,,,-0.6063803,44.7931179,33
139,2009,bcpst,A BIO,ENITAB Bordeaux (Civil),,,,,,,,,,1747.0,57.0,77.0,46.0,57.0,,,,-0.6063803,44.7931179,33
140,2008,bcpst,A BIO,ENITAB Bordeaux (Civil),,,,,,,,,,1778.0,53.0,75.0,33.0,55.0,,,,-0.6063803,44.7931179,33
141,2007,BCPST,A BIO,ENITAB Bordeaux (Civil),,,,,,,,,,1699.0,54.0,57.0,28.0,55.0,,,,-0.6063803,44.7931179,33
142,2010,bcpst,A BIO,ENITAB Bordeaux (Civil),,,,,,,,,,1802.0,62.0,74.0,41.0,62,,,,-0.6063803,44.7931179,33
143,2011,bcpst,A BIO,VetAgro Sup Clermont-Ferrand (Fonctionnaire),,,,,,,,,,1989.0,8.0,75.0,13.0,7.0,,,,3.1762589,45.7758304,63
144,2011,bcpst,A BIO,VetAgro Sup Clermont-Ferrand (Civil),,,,,,,,,,1996.0,43.0,67.0,26.0,43.0,,,,3.1762589,45.7758304,63
145,2011,bcpst,A BIO,Oniris Nantes (cursus agroalimentaire),,,,,,,,,,2034.0,48.0,83.0,36.0,50.0,,,,-1.5227746,47.2891843,44
146,2012,bcpst,A BIO,Oniris Nantes (cursus agroalimentaire),,,,,,,,,,1995.0,44.0,79.0,39.0,51.0,,,,-1.5227746,47.2891843,44
147,2011,bcpst,A BIO,Agrosup Dijon (Cursus Agronome) civil,,,,,,,,,,1793.0,43.0,88.0,47.0,41.0,,,,5.04148,47.322047,21
148,2012,bcpst,A BIO,Agrosup Dijon (Cursus Agronome) civil,,,,,,,,,,1986.0,34.0,70.0,48.0,38.0,,,,5.04148,47.322047,21
149,2013,bcpst,A BIO,Agrosup Dijon (Cursus Agronome) civil,,,,,,,,,,1802.0,38.0,71.0,32.0,28.0,,,,5.04148,47.322047,21
150,2014,bcpst,A BIO,Agrosup Dijon (Cursus Agronome) civil,,,,,,,,,,1744.0,47.0,76.0,28.0,36.0,,,,5.04148,47.322047,21
151,2015,bcpst,A BIO,Agrosup Dijon (Cursus Agronome) civil,,,,,,,,,,1825.0,24.0,33.0,17.0,26.0,,,,5.04148,47.322047,21
152,2016,bcpst,A BIO,Agrosup Dijon (Cursus Agronome) civil,,,,,,,,,,1974.0,45.0,73.3,28.9,54.0,,,,5.04148,47.322047,21
153,2020,tb,Concours  A TB BIO,Agrosup Dijon (Cursus Agronome) civil,,,,,,,,,,,3.0,33.3,33.3,3.0,,65.0,57.0,5.04148,47.322047,21
154,2020,bcpst,A BIO,Agrosup Dijon (Cursus Agronome) civil,,,,,,,,,,,33.0,69.7,21.2,33.0,,1712.0,1603.0,5.04148,47.322047,21
155,2019,bcpst,A BIO,Agrosup Dijon (Cursus Agronome) civil,,,,,,,,,,,33.0,84.8,30.3,33.0,,1659.0,1601.0,5.04148,47.322047,21
156,2019,tb,Concours A TB BIO,Agrosup Dijon (Cursus Agronome) civil,,,,,,,,,,,2.0,50.0,0.0,2.0,,33.0,33.0,5.04148,47.322047,21
157,2010,bcpst,A BIO,Agrosup Dijon (Cursus Agronome) civil,,,,,,,,,,1910.0,36.0,75.0,31.0,40,,,,5.04148,47.322047,21
158,2017,bcpst,A BIO,Agrosup Dijon (Cursus Agronome) civil,,,,,,,,,,1829.0,36.0,63.9,33.3,33,,,,5.04148,47.322047,21
159,2018,bcpst,A BIO,Agrosup Dijon (Cursus Agronome) civil,,,,,,,,,,,28.0,64.3,21.4,25,,1655.0,1632.0,5.04148,47.322047,21
160,2021,bcpst,A BIO,Agrosup Dijon (Cursus Agronome) civil,,,,,,,,,,,35.0,62.9,28.6,34,,1725.0,1681.0,5.04148,47.322047,21
161,2021,tb,Concours  A TB BIO,Agrosup Dijon (Cursus Agronome) civil,,,,,,,,,,,3.0,100.0,66.7,3,,63.0,55.0,5.04148,47.322047,21
162,2011,bcpst,A BIO,Agrosup Dijon (Cursus agronome) fonctionnaire,,,,,,,,,,1469.0,11.0,90.0,46.0,7.0,,,,5.04148,47.322047,21
163,2012,bcpst,A BIO,Agrosup Dijon (Cursus agronome) fonctionnaire,,,,,,,,,,2016.0,22.0,68.0,37.0,25.0,,,,5.04148,47.322047,21
164,2013,bcpst,A BIO,Agrosup Dijon (Cursus agronome) fonctionnaire,,,,,,,,,,1920.0,25.0,68.0,48.0,29.0,,,,5.04148,47.322047,21
165,2014,bcpst,A BIO,Agrosup Dijon (Cursus agronome) fonctionnaire,,,,,,,,,,1800.0,25.0,80.0,40.0,26.0,,,,5.04148,47.322047,21
166,2015,bcpst,A BIO,Agrosup Dijon (Cursus agronome) fonctionnaire,,,,,,,,,,1992.0,25.0,64.0,24.0,32.0,,,,5.04148,47.322047,21
167,2016,bcpst,A BIO,Agrosup Dijon (Cursus agronome) fonctionnaire,,,,,,,,,,2041.0,34.0,73.5,47.1,38.0,,,,5.04148,47.322047,21
